Id	CN	EN	RU
474	[异变物质][异变物质][异变物质][异变物质]	[Mutated Substance][Mutated Substance][Mutated Substance][Mutated Substance]	[Mutated Substance][Mutated Substance][Mutated Substance][Mutated Substance]
475	再需200可得	200 more to obtain	200 more to obtain
476	已完成：0/6	Completed: 0/6	Completed: 0/6
477	携带上限：1000	Carry Limit: 1000	Carry Limit: 1000
478	油炸豆腐	Deep-fried tofu.	Deep-fried tofu.
479	限购 100	Purchase Limit 100	Purchase Limit 100
480	罗莎琳德·西蒙 has bid	Rosalind Simon has bid	Rosalind Simon has bid
481	转化后经验	Experience after conversion	Experience after conversion
482	问问呗	Just ask.	Just ask.
483	可不是我标的	I wasn't the one who marked it.	I wasn't the one who marked it.
484	吃吧吃吧，哈哈哈哈哈，培根这就肯定<P_Yellow>重了</>一点呢	Eat up, eat up! Hahahaha, Bacon will definitely be a little <P_Yellow>heavier</> now.	Eat up, eat up! Hahahaha, Bacon will definitely be a little <P_Yellow>heavier</> now.
485	瓜	Melon	Melon
486	“1”级 高度危险	Grade \"1\" Highly Dangerous	Grade \"1\" Highly Dangerous
487	干得漂亮！塔尔。	Well done! Tal.	Well done! Tal.
488	正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多<HighLight>最多170</>	Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max <HighLight>max 170</>	Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max <HighLight>max 170</>
489	可升级	Upgradeable	Upgradeable
490	一二三四五一二一二三四五一二	One Two Three Four Five One Two One Two Three Four Five One Two	One Two Three Four Five One Two One Two Three Four Five One Two
491	活动名五字<highlight>[团队拍卖]</>: 6月21日（本周六）20：00 开启	Activity Name (5 characters) <highlight>[Team Auction]</>: Starts at 20:00 on June 21 (this Saturday)	Activity Name (5 characters) <highlight>[Team Auction]</>: Starts at 20:00 on June 21 (this Saturday)
492	这里就是祭台了吧。	This must be the altar.	This must be the altar.
493	金狼身上掉了什么东西出来？	Did something fall off the Golden Wolf?	Did something fall off the Golden Wolf?
494	焦距	Focal Length	Focal Length
495	右边那个差一点	The one on the right is almost there.	The one on the right is almost there.
496	莫雷蒂旧居\r\n<LeonSubTitle size=\"10\">Moretti former Residence</>	Moretti Former Residence\r\n<LeonSubTitle size=\"10\">Moretti former Residence</>	Moretti Former Residence\r\n<LeonSubTitle size=\"10\">Moretti former Residence</>
497	跟我来值班室坐着说吧……我的烟斗放哪了？	Come with me to the duty room and we can talk... Where did I put my pipe?	Come with me to the duty room and we can talk... Where did I put my pipe?
498	个人申请表	Personal Application Form	Personal Application Form
499	好！大家小心！	Alright! Everyone be careful!	Alright! Everyone be careful!
500	今天主教怎么来得这么晚？	Why is the bishop so late today?	Why is the bishop so late today?
501	关于这个选题……	About this topic...	About this topic...
502	奖励任务	Reward Quest	Reward Quest
503	我的金榜	My Gold List	My Gold List
504	招财猫  —  Lv 62 | Warrior | 5 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 5 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 5 m | Inspect
505	错帧动画	Staggered Frame Animation	Staggered Frame Animation
506	前往觉醒系统	Go to Awakening system	Go to Awakening system
507	那我输出比你高的	Then my damage output is higher than yours.	Then my damage output is higher than yours.
508	……该死。	...Damn it.	...Damn it.
509	成员权限	Member Permissions	Member Permissions
510	换攻击试一下	Change to Attack and try.	Change to Attack and try.
511	文本内容...	Text content...	Text content...
512	组队通关了200次副本文本上限二十个字。 	Cleared the Dungeon 200 times in a team. Twenty character limit.	Cleared the Dungeon 200 times in a team. Twenty character limit.
513	发放至<Place>俱乐部</>：1/30人	Distributed to <Place>Club</>: 1/30 people	Distributed to <Place>Club</>: 1/30 people
514	有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗有瓜吗	Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip?	Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip? Any gossip?
515	每天20:00~21:00开放	Open daily from 20:00~21:00	Open daily from 20:00~21:00
516	药的关键不是挖掘，是扮演！今天，我打算	The key to medicine is not digging, it's Acting! Today, I plan to	The key to medicine is not digging, it's Acting! Today, I plan to
517	已连续签到<Date>666</>天	Consecutive check-ins: <Date>666</> days	Consecutive check-ins: <Date>666</> days
518	恭喜你获得了胜利！！！	Congratulations, you have achieved victory!!!	Congratulations, you have achieved victory!!!
519	最后一点直接集火他，别管那个守卫了	Focus fire on him for the last bit, ignore that guard.	Focus fire on him for the last bit, ignore that guard.
520	阿蜜莉雅·富勒-3	Amelia Fuller-3	Amelia Fuller-3
