Id	CN	EN	RU_Old	RU_New
337	统一设置长度	Uniformly set length	Uniformly set length	Равномерно установленная длина
338	你可以选择一颗子弹，这次，我拿走的是真的。	You can choose a bullet, and this time, I'm taking away a real one.	You can choose a bullet, and this time, I'm taking away a real one.	Вы можете выбрать пулю, и на этот раз я забираю настоящую.
339	十月十日	October 10th	October 10th	10 октября
340	状态动画	Status Animation	Status Animation	Анимация статуса
341	2025年8月17日	2025/08/17	2025/08/17	2025/08/17
342	<Highlight>率先获得3000积分</>的俱乐部即刻锁定胜局;若对局结束时无人达到3000分,则按当前积分高低排定名次。积分相同时,依次比较<Highlight>总击杀数</>、<Highlight>俱乐部非凡评分总和</>。积分唯一来源为	The Club that <Highlight>reaches 3000 points first</> immediately secures the victory; if no one reaches 3000 points when the match ends, the ranking will be determined by the current points. If points are tied, compare <Highlight>Total Kills</> and <Highlight>Total Club Extraordinary Rating</> in order. The only source of points is	The Club that <Highlight>reaches 3000 points first</> immediately secures the victory; if no one reaches 3000 points when the match ends, the ranking will be determined by the current points. If points are tied, compare <Highlight>Total Kills</> and <Highlight>Total Club Extraordinary Rating</> in order. The only source of points is	Клуб, который <Highlight> первым наберет 3000 очков, </>, немедленно обеспечивает победу; если никто не наберет 3000 очков по окончании матча, рейтинг будет определяться текущими очками. Если очки равны, сравните <Highlight>Total Kills</> и <Highlight>Total Club Extraordinary Rating</> по порядку. Единственным источником баллов является
343	Projection of 昱霓·爱	Projection of Yu Ni Ai	Projection of Yu Ni Ai	Проекция Ю Ни Ай
344	又在宣扬他那套赢学……真是受够了。	Preaching his winning philosophy again... I'm really sick of it.	Preaching his winning philosophy again... I'm really sick of it.	Снова проповедовать свою философию победы... Мне это очень надоело.
345	珍妮·夫利亚	Jeanne Folia	Jeanne Folia	Жанна Фолиа
346	庄园总评	Manor Overall Rating	Manor Overall Rating	Общий рейтинг усадьбы
347	血誓-2	Blood Oath-2	Blood Oath-2	Клятва крови-b
348	净化完成了……空间在排斥我，还没有结束？	Purification is complete... the space is repelling me, is it not over yet?	Purification is complete... the space is repelling me, is it not over yet?	Очищение полное... пространство меня отталкивает, разве это еще не закончилось?
349	246万	2.46 million	2.46 million	2,46 миллиона
350	当前席位：<Green>3</>/4	Current seat: <Green>3</>/4	Current seat: <Green>3</>/4	Текущее место: <Green>3</>/4.
351	蒸汽与工业蒸汽与工业	Steam and Industry Steam and Industry	Steam and Industry Steam and Industry	Пар и промышленность Пар и промышленность
352	下级概率	Next level probability	Next level probability	Вероятность следующего уровня
353	占卜家俱乐部\r\n<LeonSubTitle size=\"31\">Divination Club</>	Divination Club\r\n<LeonSubTitle size=\"31\">Divination Club</>	Divination Club\r\n<LeonSubTitle size=\"31\">Divination Club</>	Клуб гаданий\r\n<LeonSubTitle size=\"31\">Клуб гаданий</>
354	把握瞬间\r\n	Seize the moment\r\n	Seize the moment\r\n	Лови момент\r\n
355	铁十字街右街\r\n<LeonSubTitle size=\"38\">Iron Cross Right Street</>	Iron Cross Right Street\r\n<LeonSubTitle size=\"38\">Iron Cross Right Street</>	Iron Cross Right Street\r\n<LeonSubTitle size=\"38\">Iron Cross Right Street</>	Железный Крест, правая улица\r\n<LeonSubTitle size=\"38\">Железный Крест, правая улица</>
356	fvv缘起敢抢排名不敢打	fvv Yuan Qi dares to grab rankings but doesn't dare to fight.	fvv Yuan Qi dares to grab rankings but doesn't dare to fight.	fvv Юань Ци осмеливается завоевывать рейтинги, но не осмеливается сражаться.
357	序列之路遵循\r\n妄图跨越者	The Sequence path follows\r\nthose who attempt to transcend	The Sequence path follows\r\nthose who attempt to transcend	Путь Последовательности следует за \r\n теми, кто пытается превзойти
358	634米	634 meters	634 meters	634 метра
359	我去打木桩看看伤害	I'm going to hit the training dummy to check the damage.	I'm going to hit the training dummy to check the damage.	Я собираюсь ударить по тренировочному манекену, чтобы проверить повреждения.
360	我可以磕头借寿吗？寿来！寿来！寿来！	Can I kowtow to borrow life? Life come! Life come! Life come!	Can I kowtow to borrow life? Life come! Life come! Life come!	Могу ли я поклониться, чтобы одолжить жизнь? Жизнь пришла! Жизнь пришла! Жизнь пришла!
361	手握大剑进行旋转，瞬间将怪物拖拽至身前并嘲讽。随后产生强	Swing the greatsword in a spin, instantly dragging monsters in front of you and applying a Taunt. Then, it generates a strong	Swing the greatsword in a spin, instantly dragging monsters in front of you and applying a Taunt. Then, it generates a strong	Взмахните двуручным мечом, мгновенно перетаскивая монстров перед собой и применяя насмешку. Затем он создает сильное
362	已禁言	Muted	Muted	Без звука
363	玩家玩玩家玩	Player Play Player Play	Player Play Player Play	Игрок играет Игрок играет
364	您已超越50%的铁路大亨！	You have surpassed 50% of railway tycoons!	You have surpassed 50% of railway tycoons!	Вы превзошли 50% железнодорожных магнатов!
365	肉体·侵蚀	Physical · Erosion	Physical · Erosion	Физический · Эрозия
366	南区大道\r\n<LeonSubTitle size=\"38\">South Borough Avenue</>	South District Avenue\r\n<LeonSubTitle size=\"38\">South Borough Avenue</>	South District Avenue\r\n<LeonSubTitle size=\"38\">South Borough Avenue</>	Южный район авеню\r\n<LeonSubTitle size=\"38\">Южный районный авеню</>
367	活动时间 <Time>剩余7日13时</>	Activity Time <Time>7 days 13 hours remaining</>	Activity Time <Time>7 days 13 hours remaining</>	Время активности <Time>7 дней, осталось 13 часов</>
368	祝你们有个美好的下午。	Have a wonderful afternoon.	Have a wonderful afternoon.	Желаем вам чудесного дня.
369	艾萨克！你真的太过分了！	Isaac! You've really gone too far!	Isaac! You've really gone too far!	Исаак! Вы действительно зашли слишком далеко!
370	<Green>150</>人在线	<Green>150</> people online	<Green>150</> people online	<Green>150</> человек онлайн
371	灵摆逆时针缓缓转动，命运隐约向梦魂率先开摆透露出潜在的阻力。尚在可控范围之内，但不可掉以轻心。	The pendulum rotates slowly counter-clockwise; fate vaguely reveals potential resistance to Dream Soul First to Lay Down. It is still within a controllable range, but one must not be careless.	The pendulum rotates slowly counter-clockwise; fate vaguely reveals potential resistance to Dream Soul First to Lay Down. It is still within a controllable range, but one must not be careless.	Маятник медленно вращается против часовой стрелки; судьба смутно показывает потенциальное сопротивление Dream Soul First to Lay Down. Оно все еще находится в пределах контролируемого диапазона, но не следует проявлять небрежность.
372	科恩教授，你好。	Professor Cohen, hello.	Professor Cohen, hello.	Профессор Коэн, здравствуйте.
373	贝西克街\r\n<LeonSubTitle size=\"38\">Besik Street</>	Besik Street\r\n<LeonSubTitle size=\"38\">Besik Street</>	Besik Street\r\n<LeonSubTitle size=\"38\">Besik Street</>	Улица Бесика\r\n<LeonSubTitle size=\"38\">Улица Бесика</>
374	队伍玩家	Team Player	Team Player	Командный игрок
375	女神啊……我向您忏悔……\r\n我应该不是唯一一个\r\n为两个女人心动的人吧？	Oh Goddess... I confess to You...\r\nI shouldn't be the only one\r\nwho has felt heart-fluttering for two women, right?	Oh Goddess... I confess to You...\r\nI shouldn't be the only one\r\nwho has felt heart-fluttering for two women, right?	О, Богиня... Я признаюсь Тебе... \r\nЯ не должна быть единственной, \r\n, у которой трепетало сердце из-за двух женщин, верно?
376	3号	No. 3	№ 3	№ 3
377	有时候我想试试亲手调制咖啡的感觉，这也是很有趣的体验。	Sometimes I want to try making coffee myself; it's also a very interesting experience.	Sometimes I want to try making coffee myself; it's also a very interesting experience.	Иногда мне хочется попробовать приготовить кофе самому; это тоже очень интересный опыт.
378	这都什么东西啊	What is all this stuff?	What is all this stuff?	Что это за штука?
379	被害人是从\r\n小巷深处逃出的	The victim escaped from\r\nthe depths of the alley.	The victim escaped from\r\nthe depths of the alley.	Пострадавший сбежал из \r\n в глубину переулка.
380	0000.0万	0,000,000	0 000 000	0 000 000
381	好饿……\r\n再不吃点东西，好像要晕过去了。	So hungry...\r\nIf I don't eat something soon, I feel like I'm going to faint.	So hungry...\r\nIf I don't eat something soon, I feel like I'm going to faint.	Такой голодный...\r\nЕсли я не съем что-нибудь в ближайшее время, мне кажется, что я упаду в обморок.
382	请尽情地\r\n向我展现	Please show me\r\nto your heart's content.	Please show me\r\nto your heart's content.	Пожалуйста, покажите мне \r\n, сколько душе угодно.
383	女神啊，请原谅我的\r\n自以为是……	Oh Goddess, please forgive my\r\nself-righteousness...	Oh Goddess, please forgive my\r\nself-righteousness...	О Богиня, пожалуйста, прости мою \r\n самоуверенность...
384	而我和我孩子的体面衣服，\r\n都已经是半年前买的……	And the decent clothes for me and my child\r\nwere all bought half a year ago...	And the decent clothes for me and my child\r\nwere all bought half a year ago...	А приличная одежда для меня и моего ребенка \r\n была куплена еще полгода назад...
385	2025年8月17日 12:00	2025/08/17 12:00	2025/08/17 12:00	2025/08/17 12:00
386	可恶！这是假宝箱！	Damn it! This is a fake treasure chest!	Damn it! This is a fake treasure chest!	Блин! Это фальшивый сундук с сокровищами!
387	无阳光-1	No Sunlight-1	No Sunlight-1	Нет солнечного света-b
388	本站特产出售	Sell Local Specialties	Sell Local Specialties	Продавать местные деликатесы
389	126666分	126,666 points	126,666 points	126 666 очков
390	戴维·约翰-4	David John-4	David John-4	Дэвид Джон-b
391	第二期	Season 2	Season 2	2 сезон
392	最高连胜：18	Highest Win Streak: 18	Highest Win Streak: 18	Самая высокая серия побед: bb
393	简易详情	Simple Details	Simple Details	Простые детали
394	翡翠星痕翠星痕	Emerald Star Trace Emerald Star Trace	Emerald Star Trace Emerald Star Trace	След изумрудной звезды След изумрудной звезды
395	跟随卜杖的指引找找看。	Follow the guidance of the dowsing rod to look for it.	Follow the guidance of the dowsing rod to look for it.	Следуйте указаниям лозунга, чтобы найти его.
396	9级	Level 9	Level 9	Уровень b
397	三！	Three!	Three!	Три!
398	玩法进行中提前退出	Exiting early while gameplay is in progress	Exiting early while gameplay is in progress	Досрочный выход во время игрового процесса
399	还有游戏、网络、电视……	There are also games, the internet, television...	There are also games, the internet, television...	Еще есть игры, интернет, телевидение...
400	魔女教团	Demoness Sect	Demoness Sect	Секта демониц
401	总值	Total Value	Total Value	Общая стоимость
402	无阳光-2	No Sunlight-2	No Sunlight-2	Нет солнечного света-b
403	巨龙传承	Giant Dragon Inheritance	Giant Dragon Inheritance	Наследство гигантского дракона
404	戴维·约翰-5	David John-5	David John-5	Дэвид Джон-b
405	<Highlight>3</>/4种	<Highlight>3</>/4 types	<Highlight>3</>/4 types	<Highlight>3</>/4 типа
406	下次活动	Next Activity	Next Activity	Следующее действие
407	你还不了解文森吗？	Don't you know Vincent yet?	Don't you know Vincent yet?	Ты еще не знаешь Винсента?
408	参加别墅派对可免费借穿别墅主人顶奢时装，尊贵座驾，还能通过参加T台走秀、泳池互动等获得热度值，领取丰富奖励~	Attend a villa party to borrow the villa owner's luxury fashion and prestigious vehicles for free. You can also earn Popularity points by participating in runway shows, pool interactions, and more to claim rich rewards~	Attend a villa party to borrow the villa owner's luxury fashion and prestigious vehicles for free. You can also earn Popularity points by participating in runway shows, pool interactions, and more to claim rich rewards~	Посетите вечеринку на вилле, чтобы бесплатно одолжить роскошную моду и престижные автомобили владельца виллы. Вы также можете зарабатывать очки популярности, участвуя в показах, взаимодействии в бассейне и т. д., чтобы претендовать на щедрые награды~
409	提交物品类型	Item Type to Submit	Item Type to Submit	Тип элемента для отправки
410	确定谁去 就好了 关键是边缘被污染了后中间 那个骑士光影是掉血的 不怎么好分辨	Just decide who goes, the key is that after the edge is corrupted, the knight's light and shadow in the middle will lose health, it's not easy to distinguish.	Just decide who goes, the key is that after the edge is corrupted, the knight's light and shadow in the middle will lose health, it's not easy to distinguish.	Просто решите, кто пойдет, суть в том, что после того, как край будет испорчен, свет и тень рыцаря в середине потеряют здоровье, их нелегко различить.
411	【@千秋载】都成年了还电什么？	【@Qian Qiu Zai】You're an adult, why are you still playing games?	【@Qian Qiu Zai】You're an adult, why are you still playing games?	【@Qian Qiu Zai】Ты взрослый, почему ты все еще играешь в игры?
412	按钮文本	Button Text	Button Text	Текст кнопки
413	为什么？为什么这个剂量配比总是得不到应该的结果。	Why? Why does this dosage ratio never yield the expected results?	Why? Why does this dosage ratio never yield the expected results?	Почему? Почему такое соотношение дозировок никогда не дает ожидаемых результатов?
414	无阳光-3	No Sunlight-3	No Sunlight-3	Нет солнечного света-b
415	歌颂者扮演\r\n⬇️	Bard Acting\r\n⬇️	Bard Acting\r\n⬇️	Действующий бард\r\n⬇️
416	精灵花和毒堇汁，上周订的货还没到？	Sprite flower and poison hemlock juice, the order from last week hasn't arrived yet?	Sprite flower and poison hemlock juice, the order from last week hasn't arrived yet?	Цветок спрайта и сок ядовитого болиголова, заказ с прошлой недели еще не пришел?
417	2.4倍	2.4x	2.4x	2.4x
418	再也没有回来\r\n……	Never returned\r\n...	Never returned\r\n...	Никогда не возвращался \r\n...
419	城堡美观度	Castle Aesthetics	Castle Aesthetics	Эстетика замка
420	懂机制?	Know the mechanics?	Know the mechanics?	Знаете механику?
421	20天<M_Brown>后过期自动</>删除	Expires and will be automatically deleted in 20 days <M_Brown> after</>	Expires and will be automatically deleted in 20 days <M_Brown> after</>	Срок действия истекает и будет автоматически удален через 20 дней <M_Brown> после </>.
422	不知道崔佛说的狂信徒藏在哪……	I don't know where Trevor said the fanatics are hiding...	I don't know where Trevor said the fanatics are hiding...	Я не знаю, где, по словам Тревора, прячутся фанатики...
423	他喋喋不休地抱怨梅兰妮，\r\n可真是个糟糕的男人。	He kept complaining about Melanie incessantly,\r\nwhat a terrible man.	He kept complaining about Melanie incessantly,\r\nwhat a terrible man.	Он постоянно жаловался на Мелани: \r\n, какой ужасный человек.
424	上限会累计到下一周	The cap will carry over to the next week	The cap will carry over to the next week	Ограничение будет перенесено на следующую неделю.
425	我们怎么能缺席？	How could we be absent?	How could we be absent?	Как мы могли отсутствовать?
426	下级需采集:	Collection required for next level:	Collection required for next level:	Для следующего уровня необходим сбор:
427	今日剩余抽选次数<HighLight>100</>次	Remaining draws today: <HighLight>100</>	Remaining draws today: <HighLight>100</>	Оставшиеся розыгрыши сегодня: <HighLight>100</>
428	果然啊，鞭子不落到自己身上就不知道痛。	As expected, people don't know pain until the whip falls on them.	As expected, people don't know pain until the whip falls on them.	Как и ожидалось, люди не знают боли, пока на них не обрушится кнут.
429	莫里亚蒂	Moriarty	Moriarty	Мориарти
430	219天	219 days	219 days	219 дней
431	等待团员确认，<Time>10秒</>后自动进入	Waiting for team members to confirm, automatically entering in <Time>10 seconds</>	Waiting for team members to confirm, automatically entering in <Time>10 seconds</>	Ожидание подтверждения членов команды, автоматический ввод через <Time>10 секунд</>
432	1号	No. 1	№ 1	№ 1
433	下水道系统需要持续建设，\r\n使用【】，\r\n才能真正缓解城市污染。	The sewer system requires Continuous construction,\r\nusing【】,\r\nto truly alleviate the city's corruption.	The sewer system requires Continuous construction,\r\nusing【】,\r\nto truly alleviate the city's corruption.	Канализационная система требует непрерывного строительства, \r\n с использованием【】, \r\n, чтобы действительно уменьшить коррупцию в городе.
434	我不知道机械原理	I don't know the mechanical principles.	I don't know the mechanical principles.	Я не знаю механических принципов.
435	所属势力	Affiliated Faction	Affiliated Faction	Дочерняя фракция
436	完成【任务名字七个字】获取	Complete [Quest Name Seven Characters] to obtain	Complete [Quest Name Seven Characters] to obtain	Завершите [Название квеста, семь символов], чтобы получить
437	少召一点，多来几趟就行了	Summon fewer, just make more trips.	Summon fewer, just make more trips.	Призывайте меньше, просто совершайте больше поездок.
438	我怕包庇	I'm afraid of covering up.	I'm afraid of covering up.	Я боюсь прикрыться.
439	这、这是怎么了？	W-what happened?	W-what happened?	Ч-что случилось?
440	#话题名称	#Topic Name	#Topic Name	#Название темы
441	<HIGHLIGHT>打开</>背包界面点击<HIGHLIGHT>技能图标，</>	<HIGHLIGHT>Open</> the Inventory interface and click on the <HIGHLIGHT>Skill icon,</>	<HIGHLIGHT>Open</> the Inventory interface and click on the <HIGHLIGHT>Skill icon,</>	<HIGHLIGHT>Откройте </> интерфейс инвентаря и щелкните значок <HIGHLIGHT>Skill, </>.
442	主教让我把蜡烛分发给大家。	The bishop asked me to distribute the candles to everyone.	The bishop asked me to distribute the candles to everyone.	Архиерей попросил меня раздать всем свечи.
443	方奕阳 has bid	Fang Yiyang has bid	Fang Yiyang has bid	Фан Иян сделал ставку
444	世界观描述文字，世界观描述文字，世界观描述文字，界观描述文字，世界观描述文字	Worldview description text, worldview description text, worldview description text, worldview description text, worldview description text	Worldview description text, worldview description text, worldview description text, worldview description text, worldview description text	Текст описания мировоззрения, текст описания мировоззрения, текст описания мировоззрения, текст описания мировоззрения, текст описания мировоззрения
445	等级≥25级等级≥25级	Level ≥ 25 Level ≥ 25	Level ≥ 25 Level ≥ 25	Уровень ≥ 25 Уровень ≥ bb
446	公示期00小时00分	Publicity Period 00 hours 00 minutes	Publicity Period 00 hours 00 minutes	Период рекламы 00 часов 00 минут
447	竞价要求：	Bidding Requirement:	Bidding Requirement:	Требование к участию в торгах:
448	远程输出	Ranged output	Ranged output	Диапазон выходного сигнала
449	请点击跳转你要查找的物品	Please click to jump to the item you are looking for.	Please click to jump to the item you are looking for.	Пожалуйста, нажмите, чтобы перейти к нужному элементу.
450	琴姐  砍我	Sister Qin, cut me.	Sister Qin, cut me.	Сестра Цинь, порежь меня.
451	水晶苹果七个字	Crystal Apple (7 characters)	Crystal Apple (7 characters)	Хрустальное яблоко (7 символов)
452	关系名六个字	Six-character Relationship Name	Six-character Relationship Name	Шестизначное имя связи
453	相片预留名字	Reserved Photo Name	Reserved Photo Name	Зарезервированное имя фотографии
454	魔女教派棋子除获得基础<Highlight>攻击</><img id=\"03\" width=\"36\" height=\"36\"/>和<Highlight>攻速</><img id=\"05\" width=\"36\" height=\"36\"/>外<Highlight>吸血能力最强</>的非生命教派棋子获得相同增益。教派秘仪加持时,<Highlight>吸血能力最强</>的非生命教派棋子获得相同增益。	In addition to Demoness Sect pieces gaining base <Highlight>Attack</><img id=\"03\" width=\"36\" height=\"36\"/> and <Highlight>Attack Speed</><img id=\"05\" width=\"36\" height=\"36\"/>, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff. When blessed by the Sect Ritual, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff.	In addition to Demoness Sect pieces gaining base <Highlight>Attack</><img id=\"03\" width=\"36\" height=\"36\"/> and <Highlight>Attack Speed</><img id=\"05\" width=\"36\" height=\"36\"/>, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff. When blessed by the Sect Ritual, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff.	В дополнение к частям секты демонессы, получающим базовые <Highlight>Attack</><img id=\"03\" width=\"36\" height=\"36\"/> и <Highlight>Attack Speed</><img id=\"05\" width=\"36\" height=\"36\"/>, неживая часть секты с <Highlight>сильнейшей кражей жизни</> получает такой же положительный эффект. При благословении Ритуалом Секты неживой предмет Секты с сильнейшим <Highlight> Life Steal</> получает такой же положительный эффект.
455	时间完毕，没发现什么异常。但是感觉你有点太受欢迎了呀。你朋友好多啊，跟他们绝交吧。我觉得你有我就够了...!	Time's up, nothing unusual found. But you seem a bit too popular. You have so many friends, you should break up with them. I think you have enough with just me...!	Time's up, nothing unusual found. But you seem a bit too popular. You have so many friends, you should break up with them. I think you have enough with just me...!	Время вышло, ничего необычного не обнаружено. Но ты выглядишь слишком популярным. У тебя так много друзей, тебе следует с ними расстаться. Я думаю, тебе достаточно одного меня...!
456	伤害木桩1：事实Buff信息	Damage Dummy 1: Fact Buff Info	Damage Dummy 1: Fact Buff Info	Манекен урона 1: информация об усилении фактов
457	像这种窗子，\r\n关得不严实，\r\n趴在窗沿底下，\r\n就很容易听见……	Windows like this, \r\n aren't closed tightly, \r\n lying under the window sill, \r\n can easily hear...	Windows like this, \r\n aren't closed tightly, \r\n lying under the window sill, \r\n can easily hear...	Окна такие, \r\n закрыт неплотно, \r\n лежит под подоконником, \r\n легко слышно...
458	2025年10月23日16:17	2025/10/23 16:17	2025/10/23 16:17	2025/10/23 16:17
459	观众扮演\r\n（心理暗示）	Spectator Acting\r\n(Psychological Suggestion)	Spectator Acting\r\n(Psychological Suggestion)	Зрительская игра \r\n (Психологическое внушение)
460	%d时%d分	%d:%d	%d:%d	%d:%d
461	网易	NetEase	NetEase	NetEase
462	%s第%s%s	%s %s %s	%s %s %s	%s %s %s
463	<Big>史</>诗	<Big>E</>pic	<Big>E</>pic	<Big>Э</>пический
464	金狼一挥手，台下数千人同时起立。\r\n提线早已勒进喉咙。\r\n这些站起来的，已经不是人了。\r\n\"你们想要安全，就把意识交给我，\r\n这是双赢的买卖。\"	Golden Wolf waved his hand, and thousands of people in the audience stood up at once. \r\n The puppet strings were already tightened around their throats. \r\n Those who stood up were no longer human. \r\n \"If you want safety, hand your consciousness over to me, \r\n this is a win-win deal.\"	Golden Wolf waved his hand, and thousands of people in the audience stood up at once. \r\n The puppet strings were already tightened around their throats. \r\n Those who stood up were no longer human. \r\n \"If you want safety, hand your consciousness over to me, \r\n this is a win-win deal.\"	Золотой Волк махнул рукой, и тысячи людей в зале одновременно встали. \r\n Кукольные ниточки уже были натянуты на их горлах. \r\n Те, кто встал, уже не были людьми. \r\n «Если тебе нужна безопасность, передай мне свое сознание, \r\n, это беспроигрышная сделка».
465	多么诚实的\r\n贪婪……\r\n	Such honest\r\ngreed...	Such honest\r\ngreed...	Такая честная\r\nжадность...
466	2倍	2x	2x	2x
467	我未能尽到\r\n一个母亲的责任……	I have failed to fulfill\r\nmy duties as a mother...	I have failed to fulfill\r\nmy duties as a mother...	Я не выполнила\r\nсвои материнские обязанности...
468	4号	No. 4	№ 4	№ 4
469	我的，眼瞳，\r\n到底是什么颜色？	What color,\r\nexactly, are my eyes?	What color,\r\nexactly, are my eyes?	Какого цвета, \r\n, мои глаза?
470	亲爱的尼尔：\r\n我不想……	Dear Niel:\r\nI don't want to...	Dear Niel:\r\nI don't want to...	Дорогой Ниэль:\r\nЯ не хочу...
471	对小兵伤害	Damage to minions	Damage to minions	Урон миньонам
472	职业切换	Career Switch	Career Switch	Смена карьеры
473	肉法加风筝无解	Meat-tank plus kiting is unsolvable.	Meat-tank plus kiting is unsolvable.	Мясотанк плюс кайтинг неразрешима.
474	[异变物质][异变物质][异变物质][异变物质]	[Mutated Substance][Mutated Substance][Mutated Substance][Mutated Substance]	[Mutated Substance][Mutated Substance][Mutated Substance][Mutated Substance]	[Мутировавшее вещество][Мутировавшее вещество][Мутировавшее вещество][Мутировавшее вещество]
475	再需200可得	200 more to obtain	200 more to obtain	еще 200, чтобы получить
476	已完成：0/6	Completed: 0/6	Completed: 0/6	Завершено: 0/b
477	携带上限：1000	Carry Limit: 1000	Carry Limit: 1000	Лимит переноса: 1000
478	油炸豆腐	Deep-fried tofu.	Deep-fried tofu.	Тофу, обжаренный во фритюре.
479	限购 100	Purchase Limit 100	Purchase Limit 100	Лимит покупки: 100
480	罗莎琳德·西蒙 has bid	Rosalind Simon has bid	Rosalind Simon has bid	Розалинда Саймон сделала ставку
481	转化后经验	Experience after conversion	Experience after conversion	Опыт после конвертации
482	问问呗	Just ask.	Just ask.	Просто спросите.
483	可不是我标的	I wasn't the one who marked it.	I wasn't the one who marked it.	Это не я это отметил.
484	吃吧吃吧，哈哈哈哈哈，培根这就肯定<P_Yellow>重了</>一点呢	Eat up, eat up! Hahahaha, Bacon will definitely be a little <P_Yellow>heavier</> now.	Eat up, eat up! Hahahaha, Bacon will definitely be a little <P_Yellow>heavier</> now.	Ешь, ешь! Ха-ха-ха, Бэкон теперь определенно будет немного <P_Yellow> тяжелее</>.
485	瓜	Melon	Melon	Дыня
486	“1”级 高度危险	Grade \"1\" Highly Dangerous	Grade \"1\" Highly Dangerous	Класс «1» — особо опасен.
487	干得漂亮！塔尔。	Well done! Tal.	Well done! Tal.	Отличная работа! Таль.
488	正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多68字符正文最多<HighLight>最多170</>	Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max <HighLight>max 170</>	Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max 68 characters Body text max <HighLight>max 170</>	Основной текст до 68 символов Основной текст до 68 символов Основной текст до 68 символов Основной текст до 68 символов Основной текст до 68 символов Основной текст до 68 символов Основной текст до 68 символов Основной текст до 68 символов <HighLight>max 170</>
489	可升级	Upgradeable	Upgradeable	Обновляемый
490	一二三四五一二一二三四五一二	One Two Three Four Five One Two One Two Three Four Five One Two	One Two Three Four Five One Two One Two Three Four Five One Two	Один Два Три Четыре Пять Один Два Один Два Три Четыре Пять Один Два
491	活动名五字<highlight>[团队拍卖]</>: 6月21日（本周六）20：00 开启	Activity Name (5 characters) <highlight>[Team Auction]</>: Starts at 20:00 on June 21 (this Saturday)	Activity Name (5 characters) <highlight>[Team Auction]</>: Starts at 20:00 on June 21 (this Saturday)	Название мероприятия (5 символов) <highlight>[Командный аукцион]</>: Начало в 20:00 21 июня (в эту субботу)
492	这里就是祭台了吧。	This must be the altar.	This must be the altar.	Должно быть, это алтарь.
493	金狼身上掉了什么东西出来？	Did something fall off the Golden Wolf?	Did something fall off the Golden Wolf?	Что-то упало с Золотого Волка?
494	焦距	Focal Length	Focal Length	Фокусное расстояние
495	右边那个差一点	The one on the right is almost there.	The one on the right is almost there.	Тот, что справа, почти готов.
496	莫雷蒂旧居\r\n<LeonSubTitle size=\"10\">Moretti former Residence</>	Moretti Former Residence\r\n<LeonSubTitle size=\"10\">Moretti former Residence</>	Moretti Former Residence\r\n<LeonSubTitle size=\"10\">Moretti former Residence</>	Бывшая резиденция Моретти\r\n<LeonSubTitle size=\"10\">Бывшая резиденция Моретти</>
497	跟我来值班室坐着说吧……我的烟斗放哪了？	Come with me to the duty room and we can talk... Where did I put my pipe?	Come with me to the duty room and we can talk... Where did I put my pipe?	Пойдем со мной в дежурку, поговорим... Куда я положил трубку?
498	个人申请表	Personal Application Form	Personal Application Form	Персональная форма заявки
499	好！大家小心！	Alright! Everyone be careful!	Alright! Everyone be careful!	Хорошо! Все будьте осторожны!
500	今天主教怎么来得这么晚？	Why is the bishop so late today?	Why is the bishop so late today?	Почему епископ сегодня так поздно?
501	关于这个选题……	About this topic...	About this topic...	Об этой теме...
502	奖励任务	Reward Quest	Reward Quest	Задание с наградой
503	我的金榜	My Gold List	My Gold List	Мой золотой список
504	招财猫  —  Lv 62 | Warrior | 5 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 5 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 5 m | Inspect	Кот удачи — Ур. 62 | Воин | 5 m | Осмотреть
505	错帧动画	Staggered Frame Animation	Staggered Frame Animation	Анимация ступенчатого кадра
506	前往觉醒系统	Go to Awakening system	Go to Awakening system	Перейти к системе Пробуждения
507	那我输出比你高的	Then my damage output is higher than yours.	Then my damage output is higher than yours.	Тогда мой урон выше вашего.
508	……该死。	...Damn it.	...Damn it.	...Проклятье.
509	成员权限	Member Permissions	Member Permissions	Права участников
510	换攻击试一下	Change to Attack and try.	Change to Attack and try.	Переключитесь на атаку и попробуйте.
511	文本内容...	Text content...	Text content...	Текстовое содержимое...
512	组队通关了200次副本文本上限二十个字。 	Cleared the Dungeon 200 times in a team. Twenty character limit.	Cleared the Dungeon 200 times in a team. Twenty character limit.	Пройдено 200 раз в группе. Лимит двадцать символов.
513	发放至<Place>俱乐部</>：1/30人	Distributed to <Place>Club</>: 1/30 people	Distributed to <Place>Club</>: 1/30 people	Распространено в <Place>Club</>: 1/30 человек.
