CN	EN
半血啊没看见	Half health, didn't you see?
去哪里了……	Where did it go...
活动解锁	Activity Unlocked
羊角包 has bid	Croissant has bid
初始获得3个魅惑点	Initially gain 3 Charm points
持有00	Held 00
这个人很懒，什么都没有	This person is very lazy and has nothing here
再来一次！	One more time!
点击此处选择小队发源地	Click here to select the team's place of origin
奶奶，你追的命运道观必吃榜更新了，你快起来接着串啊	Grandma, the Fate Beacon must-eat list you're following has updated, get up and keep jumping around.
封印被解除了，赞美愚者！	The seal has been lifted, praise The Fool!
您也是来看拉姆德古堡的吧？	Are you also here to see Lamud Castle?
本周通过安提戈奴斯的的笔记副本获取经验	Obtain EXP this week through the Antigonus's Notebook Dungeon
描述描述	Description Description
嘿，轻松点！总能搞完的！	Hey, relax! We'll get it done eventually!
小队商店	Squad shop
每天5:00刷新	Refreshes at 5:00 daily
装备名称几个字（<Time>12S</>）	Equipment Name Seven Characters (<Time>12S</>)
退钱！	Refund!
奥黛丽莫雷蒂	Audrey Moretti
竞拍时段	Auction Period
这条路，很令人感到熟悉。	This road feels very familiar.
副本成功	Dungeon Victory
斗邪恶牌桌	Fighting Evils Table
清空庄园	Clear Manor
呼……终于到这里了……	Phew... finally here...
喔？又一只迷途的羔羊。	Oh? Another lost lamb.
找到异响来源	Find the source of the strange noise
有人在说话？！	Is someone talking?!
请任选保留一个非凡物质进行保留	Please choose one Beyonder material to retain.
这……？	This…?
奶妈有氪佬带<img id="#022" width="28" height="28" valign="0.5"/>	The healer is being carried by a whale <img id="#022" width="28" height="28" valign="0.5"/>
所以，我神灯，它睡着了...	So, my magic lamp, it's asleep...
收购价：<Price_Lev5>1000</>	Purchase Price: <Price_Lev5>1000</>
今日剩余发布次数：<Yellow>5</>次	Remaining releases today: <Yellow>5</>
淋湿的不是窗外	What's wet is not outside the window.
魔法伤害	Magic Damage
刘世杰-1	Liu Shijie-1
可获得10个<Highlight>非凡物质</>、15个<Highlight>齿轮火漆·冒险</>	Can obtain 10 <Highlight> Beyonder material </>, 15 <Highlight> Gear Sealing Wax - Adventure </>
我数5个数。还不走的按同伙处置！	I'll count to 5. Anyone who hasn't left by then will be treated as an accomplice!
挑战Boss: 瑞尔比伯	Challenge Boss: Riel Bieber
自定义方案2/3	Custom Preset 2/3
1.职业者以守护廷根为己任，每周需要至少进行5次净化。	1. Professionals take guarding Tingen as their duty and need to perform at least 5 Purifications every week.
100-101页	Pages 100-101
一级页签未选中	Level 1 Tab Unselected
我低人反噬了	My low-level backlash triggered.
等一下 has bid	Wait a moment has bid
不行打不过	No, can't beat them
什么话   读书人之间的事情	What are you saying, it's a matter between scholars
你来这边啊	Come over here
贝克兰德那边的援助已经抵达，队长让我去查尼斯门前找他。	The reinforcements from Backlund have arrived. The Captain told me to meet him in front of Chanis Gate.
队伍左对齐文本	Team Left-Aligned Text
出传说装备了？	Legendary equipment dropped?
2025.11.11完成	Completed on 2025.11.11
全服热度50000	Server-wide Popularity 50000
刘世杰-2	Liu Shijie-2
地图加载中	Map loading
埃利亚斯·凡恩	Elias Vane.
实时语音<GreenLive>6</>人	Real-time voice <GreenLive>6</> people
已选：<Yellow>1</>/5	Selected: <Yellow>1</>/5
技能名称名称	Skill Name Name
旋转圆环还原图案旋转圆环还原图案旋转圆环还原图案。	Rotate the ring to restore the pattern. Rotate the ring to restore the pattern. Rotate the ring to restore the pattern.
安全00	Safety 00
<Assistant_Title1>【生如夏花】</>\n<Assistant_Title2>描述：</>神眷发型\n<Assistant_Title2>使用：</>使用后获得生如夏花，可点击<Assistant_System>外观-换装</>查看并使用，也可兑换为<Assistant_Red>1</>张神眷牌。\n<Assistant_Title2>获取：</>通过<Assistant_System>召唤-灵界焕容</>获得，或在<Assistant_System>美神馈赠商店</>中使用<Assistant_Red>1</>张神眷牌购买	<Assistant_Title1>【Life Like Summer Flowers】</>\n<Assistant_Title2>Description: </>God-Favored Hairstyle\n<Assistant_Title2>Use: </>After use, obtain Life Like Summer Flowers, which can be viewed and used by clicking <Assistant_System>Appearance-Change Outfit</>, or exchanged for <Assistant_Red>1</> God-Favored Card. \n<Assistant_Title2>Acquisition: </>Obtained through <Assistant_System>Summon-Spirit World Renewal</>, or purchased in the <Assistant_System>Goddess of Beauty's Gift Shop</> using <Assistant_Red>1</> God-Favored Card.
中文字符60个，不含标点符号。内容平实，无文艺修辞。采用<Highlight>中性客观</>陈述。用于检验限时或计数功能。符合用户需求，确保准确。	60 Chinese characters, excluding punctuation. The content is plain, without literary rhetoric. Uses <Highlight>neutral and objective</> statements. Used to test time-limited or counting functions. Meets user requirements and ensures accuracy.
他俩还在打	They are still fighting
扮演守则	Acting Code
最高连败：4	Highest Lose Streak: 4
额外赠送	Bonus Gift
净化成功概率：<Highlight>30%</>	Purification success rate: <Highlight>30%</>
必下资源下载完成即可进入游戏	You can enter the game once the essential resources are downloaded
骑士啊！你的利刃让敌人恐惧！你的身躯不可撼动！准备最后的挑战了吗？	Knight! Your sharp blade makes the enemy fear! Your body is immovable! Are you ready for the final challenge?
别说了。	Stop talking.
地理名称	Geographic Name
当前小队成员：<TarotTeamLight>10</>/12	Current Squad Members: <TarotTeamLight>10</>/12
标签标签	Tag Tag
永恒\r\n大帝	Eternal \r\nEmperor
看来我还不能完全掌握怀表的能力，得谨慎使用了。	It seems I still can't fully master the pocket watch's ability; I must use it cautiously.
阿玛特拉...	Amaterasu...
80级	Level 80
公示期结束后方可购买	Purchase available after the publicity period ends
嘶...头好痛…这是哪儿	Hiss... my head hurts... where is this
符合筛选条件的非凡物质两两分组，根据评分由高到低排序。可以通过滑条选择聚合次数	The Beyonder materials that meet the filter criteria are grouped in pairs and sorted by rating from high to low. You can use the slider to select the number of aggregations.
出售可获得：	Sale proceeds:
消耗物品	Consumables
边框名称	Frame name
这就是我们窥秘区	This is our Secret Peeking area.
应该说是加固自己的堡垒。	Should say reinforcing one's own fortress.
打团就是，学徒不用管，自己会进来送	In group battles, you don't need to worry about Apprentices, they'll come in to feed themselves.
作品标题	Work Title
快速转动	Fast rotation
这个不串	This one isn't trolling.
击杀时间：12分28	Kill time: 12m 28s
请添加图片	Please add an image.
Buff：心理治疗【ID：897887388】Level:1，Layer:1，Time:20	Buff: Psychotherapy [ID: 897887388] Level: 1, Layer: 1, Time: 20
感知等级：<Highlight>16</>	Perception Level: <Highlight>16</>
快打开看看吧，客人	Hurry up and open it, guest.
来门之钥送正太会长	Come to Key of Door to get a shota president.
点击领取奖励	Click to claim reward
<Team_Target>[秘境]瑞尔比伯·困难</> 瑞尔比伯来瑞尔比伯来瑞尔比伯来	<Team_Target>[Secret Realm] Riel Bieber·Hard</> Riel Bieber come, Riel Bieber come, Riel Bieber come
天灾女王的金杯	Golden Cup of the Queen of Calamity
推荐词条	Recommended Entries
契契别串了，等会被一脚踢死了	Qiqi, stop jumping around, you'll get kicked to death later.
1天1小时	1 day 1 hour
<Title>标题</>\r\n正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文<Highlight>高亮高亮高亮高亮高亮高亮高亮</>正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文<Highlight>高亮高亮高亮高亮高亮高亮高亮</>\r\n<Title>标题</>\r\n正文正文正文正文正文正文正文正文正文正文正                                  	<Title>Title</>\r\nBody text body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text <Highlight>Highlight highlight highlight highlight highlight highlight highlight</> body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text <Highlight>Highlight highlight highlight highlight highlight highlight highlight</>\r\n<Title>Title</>\r\nBody text body text body text body text body text body text body text body text body text body text body
寄信人名称文本	Sender name text
1元礼包	1-unit gift pack
值夜者巡夜队	Nighthawks Patrol
好！	Good!
复制线展示	Copy Line Display
好脆感觉	Feels so squishy.
当前经验	Current EXP
持有攻击力增加效果，将自身体力恢复攻击力的<NumYellow>150.0%</>。若持有防御力增加效果将获得防护罩效果，吸收相当于体力上限20.0%的伤害，持续15秒。	When holding an Attack increase effect, restore your own HP by <NumYellow>150.0%</> of your Attack. If holding a Defense increase effect, gain a Protective Shield that absorbs damage equal to 20.0% of your Max HP, lasting for 15 seconds.
演出场景	Performance Scene
贝克兰德事件	Backlund Incident
身怀巨款，担惊受怕的赶脚	Feeling anxious and terrified while carrying a fortune.
召唤上新	New Summon Arrivals
廷根赛区	Tingen Division
输入文字内容	Enter text content
这里的气息……明显是失控的非凡特性残留。这些诡异的扑克，是某种‘规则’的实体化吗？	The aura here... is clearly the residue of a Beyonder characteristic from a loss of control. Are these strange playing cards the materialization of some kind of 'rule'?
通用经验值<YellowExp>3700</>，可转化为当前社团的升级经验	General EXP <YellowExp>3700</>, can be converted into upgrade EXP for the current club
会拉扯	Knows how to kite
红色玫瑰	Red Rose
……不是薪水的问题，我还是想……	…It’s not about the salary, I still want to…
不要温和的走进那个良夜	Do not go gentle into that good night
前往切换	Go to switch
新消息26条	26 New Messages
<Title>标题</>\r\n正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文<Highlight2>高亮高亮高亮高亮高亮高亮高亮</>正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文正文<Highlight2>高亮高亮高亮高亮高亮高亮高亮</>\r\n<Title>标题</>\r\n正文正文正文正文正文正文正文正文正文正文正                                  	<Title>Title</>\r\nBody text body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text <Highlight2>Highlight highlight highlight highlight highlight highlight highlight</> body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text body text <Highlight2>Highlight highlight highlight highlight highlight highlight highlight</>\r\n<Title>Title</>\r\nBody text body text body text body text body text body text body text body text body text body text body
玩家名名名	Player Name Name Name
路线说明配置文本, 火车二二路线说明配置文本路线说明配二恶置文本！	Route description configuration text, train route two-two description configuration text, route description configuration text!
这是啥啊兄弟们，什么叫缘起的克星啊	What is this, brothers? What do you mean by the nemesis of Origin?
你的生意如何？	How is your business?
提交可领：	Submit to claim: 
玩家名字名字	Player Name Name
＃老兵烧烤＃10天伤兵连一生军旅情＃退伍老兵＃退伍通道＃摸把玩具枪老兵回故乡＃来时孤勇者走时放驼铃＃麻辣女兵＃黑皮体育生＃	#VeteranBBQ #10DaysWoundedCompanyALifetimeOfMilitarySentiment #RetiredVeteran #VeteranChannel #TouchingAToyGunVeteranReturnsHome #LoneHeroWhenArrivingCamelBellsWhenLeaving #SpicyFemaleSoldier #DarkSkinnedAthlete#
本游戏改编自阅文集团白金作家 爱潜水的乌贼                         所著同名小说《诡秘之主》。	This game is adapted from the novel "Lord of Mysteries" by the Platinum Author of China Literature, Cuttlefish That Loves Diving.
没人和我打	No one will fight me.
装备名称	Equipment Name
00:00后开启拍卖	Auction opens in 00:00
20200/个	20200/ea
<Pollute>污染词条</>可通过灰雾隔离净化为<Common>普通</>或者<Extraordinary>非凡</>词条	<Pollute>Corruption entries</> can be isolated and purified via the gray fog into <Common>Common</> or <Extraordinary>Extraordinary</> entries
……打碎我！快打碎我！杀我！	...Break me! Hurry, break me! Kill me!
俱乐部招人，需要战力在五万左右的，有意的宝宝可以私哦	Club recruiting, need combat power around 50,000, interested babies can private message me
六月之书  —  Lv 62 | Spectator | 1 m | Inspect	Book of June  —  Lv 62 | Spectator | 1 m | Inspect
誓约等级达到2级【相识】可获得	Covenant Level reaching Level 2 [Acquaintance] grants
通用交互物	General interactive object
你奶1w哥们	You heal 1w, buddy
造成伤害后10%概率提高自身200点力量，持续2秒，最多叠加3层，无冷却事件时间时间。造成伤害后10%概率提高自身200点力量，持续2秒，最多叠加3层，无冷却事件时间时间。造成伤害后10%概率提高自身200点力量，持续2秒，最多叠加3层，无冷却事件时间时间。	10% chance to increase your own Strength by 200 points after dealing damage, Continuous for 2 seconds, stacks up to 3 times, no Cooldown. 10% chance to increase your own Strength by 200 points after dealing damage, Continuous for 2 seconds, stacks up to 3 times, no Cooldown. 10% chance to increase your own Strength by 200 points after dealing damage, Continuous for 2 seconds, stacks up to 3 times, no Cooldown.
恭喜你，出色的完成了目标业绩，现在可以重新签订经销协议	Congratulations, you have excellently completed your performance targets. You may now re-sign the distribution agreement.
非凡物质挑战礼	Beyonder material Challenge Gift
前	Previous
卷毛大狒狒	Curly-Haired Great Baboon
这片土地是被偷走的——	This land was stolen—
《占卜绑定吃好糸统，学徒们上桌了》	《Divination Bound to the Good Eating System, Apprentices are at the Table》
在那里！	Over there!
奥黛丽奥黛丽	Audrey Audrey
我还是拿的PVE的	I'm still holding the PvE one.
拖动可以出售拖动可以出售拖动可以出售拖动可以出售拖动可以出售拖动可以出	Drag to sell Drag to sell Drag to sell Drag to sell Drag to sell Drag to se
正好，在植物范围内击杀，让植物吸收	Just right, kill them within the plant's range and let the plant absorb them.
跨服巨龙争夺	Cross-Server Giant Dragon Contest
是教堂的唱诗班，他们在唱黑夜女神的颂歌。真是令人安心的旋律。	It's the church choir, they're singing the hymn of the Evernight Goddess. Truly a comforting melody.
若接下来每回合购买资源超过十种，出售奖励超过<LightHighlight>100</>，则<LightHighlight>三个回合</>后获得双倍奖励若接下来每回合购买资源超过十种，出售奖励超过<Underline>100</>，则<Underline>三个回合</>后获得双倍奖励	If you purchase more than ten types of resources each turn and the sales reward exceeds <LightHighlight>100</>, you will receive double rewards after <LightHighlight>three turns</>. If you purchase more than ten types of resources each turn and the sales reward exceeds <Underline>100</>, you will receive double rewards after <Underline>three turns</>.
元元元圆缘  —  Lv 62 | Mystery Pryer | 4 m | Inspect	Yuan Yuan Yuan Yuan Yuan  —  Lv 62 | Mystery Pryer | 4 m | Inspect
外面的把石头交了，才能拉	Those outside need to hand in the stones before we can pull.
让我们用一个漂亮的魔法结束吧！	Let's end this with a beautiful piece of magic!
随机誓言	Random Vow
4格	4 Spaces
不！我的被动	No! My passive
可获得20个<Highlight>金纺线</>、30个<Highlight>齿轮火漆·竞技</>	Can obtain 20 <Highlight> Gold Thread </>, 30 <Highlight> Gear Sealing Wax - Competition </>
学徒这个区	Apprentice in this server
本周可使用<Stress>6/6</>	Available this week <Stress>6/6</>
沈知微 has bid	Shen Zhiwei has bid
一键刷新	One-click Refresh
噢，到时间去取金奶奶的信了。	Oh, it's time to go get Grandma Gold's letter.
得弄点出来……	I have to get some out...
很好，<P_Yellow>坚持最初真弹概率更高时的选择</>没什么错，但再<P_Yellow>小几率的失败</>，也会发生，不是吗？	Very good. <P_Yellow>Sticking to your initial choice when the probability of a true bullet was higher</> is not wrong, but even <P_Yellow>small-probability failures</> do happen, don't they?
请从以下天赋中选择一个用于强化棋子	Please select one of the following talents to use for Strengthening the piece.
近些年，来小镇的游客多了，骗子也越来越多了。唉，我真为这些败坏小镇声誉的骗子生气。	In recent years, more tourists have come to this Small Town, and there are more and more scammers too. Sigh, I’m really angry at these scammers who ruin the town’s reputation.
战区筛选积分仅在<Highlight>战区筛选期间</>的四方联赛中获取。只有<Highlight>神话组</>的俱乐部可获得战略服筛选积分。筛选期间，俱乐部参与四方联赛并累计积分；筛选结束后，将按本赛区累计积分排名，<Highlight>前4名俱乐部晋级战略服</>。\n四方联赛每场第一、二名进入胜者组，第三、四名进入败者组；第二场结束后，按比赛结果确定本轮第1至第8名。\n战区筛选积分由<Highlight>单场名次积分</>与<Highlight>每轮最终排名积分</>累计组成：\n<Highlight>单场名次积分：</>第1名30分，第2名15分，第3名10分，第4名5分。\n<Highlight>第一轮最终排名积分：</>第1名60分，第2名50分，第3名45分，第4名40分，第5至第8名各10分。\n<Highlight>第二轮最终排名积分：</>第1名200分，第2名100分，第3名70分，第4名50分，第5至第8名各15分。\n<Highlight>同分排序规则：</>战区筛选排名优先按照<Highlight>战区筛选总积分</>由高到低排列。总积分相同时：第一轮或第二轮联赛结束后，按照俱乐部在本轮的<Highlight>最终排名</>排序，排名靠前者优先；四方联赛每轮第一场比赛结束后，本轮尚未产生最终排名，同分俱乐部暂不区分排名先后，当前展示顺序不代表本轮最终排名。\n<Highlight>额外神选席位：</>战略服结算时，筛选时的赛区前三名俱乐部可额外获得神选席位：<Highlight>第1名10个，第2名5个，第3名5个</>。	Warzone screening points are only obtained during the Four-Way League in the <Highlight> Warzone Screening Period </>. Only Clubs in the <Highlight> Mythical Group </> can earn Strategic Server screening points. During the screening period, Clubs participate in the Four-Way League and accumulate points; after the screening ends, rankings will be based on the cumulative points in this warzone, with the <Highlight> top 4 Clubs advancing to the Strategic Server </>. \n In each match of the Four-Way League, the first and second place teams enter the Winners' Bracket, while the third and fourth place teams enter the Losers' Bracket; after the second match, the 1st to 8th place for this round are determined based on the match results. \n Warzone screening points are composed of the cumulative <Highlight> Single-Match Placement Points </> and <Highlight> Final Round Ranking Points </>: \n <Highlight> Single-Match Placement Points: </> 1st place: 30 points, 2nd place: 15 points, 3rd place: 10 points, 4th place: 5 points. \n <Highlight> First Round Final Ranking Points: </> 1st place: 60 points, 2nd place: 50 points, 3rd place: 45 points, 4th place: 40 points, 5th to 8th place: 10 points each. \n <Highlight> Second Round Final Ranking Points: </> 1st place: 200 points, 2nd place: 100 points, 3rd place: 70 points, 4th place: 50 points, 5th to 8th place: 15 points each. \n <Highlight> Tie-breaking Rules: </> Warzone screening rankings are prioritized by <Highlight> Total Warzone Screening Points </> from highest to lowest. When total points are equal: after the first or second round of the league ends, the ranking is based on the Club's <Highlight> Final Ranking </> in that round, with the higher rank taking priority; after the first match of each Four-Way League round, the final ranking for the round has not yet been determined, so tied Clubs are not distinguished by rank, and the current display order does not represent the final ranking for the round. \n <Highlight> Additional God-Chosen Seats: </> When the Strategic Server settles, the top three Clubs in the warzone during screening can receive additional God-Chosen Seats: <Highlight> 1st place: 10 seats, 2nd place: 5 seats, 3rd place: 5 seats </>.
最多四字	Max four characters
查看曲目	View Track
罗塞尔赛季	Roselle Season
<img id="Tips" width="30" height="46"/><Title>高原竞逐战场时间</>\n非势力战周：周三、周六晚19:00 – 20:30开启报名，20:45 – 21:15开启战场；\n<Highlight>势力战当周：周三晚19:00 – 20:30开启报名，20:45 – 21:15开启战场；</>	<img id="Tips" width="30" height="46"/><Title>Highland Competition Battleground Schedule</>\nNon-Faction War Weeks: Registration opens Wednesday and Saturday from 19:00 – 20:30; the battleground opens from 20:45 – 21:15.\n<Highlight>Faction War Weeks: Registration opens Wednesday from 19:00 – 20:30; the battleground opens from 20:45 – 21:15.</>
文本信息文本信息文本信息文本信息文本信息文本信息文本信息	Text information text information text information text information text information text information text information
可滑动查看其他精炼度	Slide to view other refinement levels
唉，小柠檬不在了，这个区也没活力了	Sigh, Little Lemon is gone, this server has no energy anymore.
被空间拒绝了……看来是我进入了错误的层面。	Rejected by space... It seems I have entered the wrong layer.
难道又是噩梦？不行，得立刻回黑荆棘报告！	Could it be another nightmare? No, I must return to Blackthorn Security Company immediately to report!
再取得<Pass>500</>业绩即可超越	Obtain <Pass>500</> more in performance to surpass
可以通过灵视发现他人身上的污染	Can discover corruption on others through spirit vision
我告老师了	I'm telling the teacher.
灵森是白毛萝莉	Ling Sen is a white-haired loli.
该词条移除	Remove this entry
语音设置：	Voice Settings:
俱乐部名字七字	Club Name Seven Characters
在2026年1月14日的势力战中表现超绝,超越了99%的玩家,诸神俯首,此名即传奇。	Performed superbly in the faction war on January 14, 2026, surpassing 99% of players. Gods bow their heads; this name is a legend.
棋子名称七个字	Piece Name Seven Characters
用手机玩 确实不舒服	Playing on a phone is indeed uncomfortable.
1-89级	Levels 1-89
上传自定义表情的战力限制，0=不限制	Combat power limit for uploading custom emojis, 0 = no limit
任务追踪	Quest tracking
兵力值	Military Strength
完成进度:10/10	Completion progress: 10/10
小碎步点起来	Start the little steps.
已获得：<Green>20</>分	Obtained: <Green>20</> points
打不动	Can't break through.
揍揍看，谁厉害<img id="#032" width="28" height="28" valign="0.5"/>	Let's fight and see who's stronger <img id="#032" width="28" height="28" valign="0.5"/>
谁名字那么值钱	Whose name is so valuable?
这也太快了	This is too fast.
造成伤害后10%概率提高自身20点力量，持续2秒,最多叠加3层,无冷却时间时间时。	10% chance to increase your own Strength by 20 points after dealing damage, Continuous for 2 seconds, stacks up to 3 times, no Cooldown.
黄铜书的恩典	Grace of the Brass Book
（30人）	(30 people)
一！	One!
他总喜欢贴过期的半价邮票。	He always likes to stick expired half-price stamps.
这里是一片迷雾，去互动	It is a mist here, go interact
途径专攻多少	How much specialization does the Pathway have?
你选择向<Title>俱乐部名字七字</>宣战，请选择宣战场次：	You have chosen to declare war on <Title>Club Name Seven Characters</>, please select the battle session:
女神之视觉	Goddess's Vision
战场时间	Battlefield Time
组件选择：	Component Selection:
锁定信息	Lock Information
#话题内容	#Topic Content
今日可保存：1/5	Available to save today: 1/5
加强学徒加强学徒，不加强学徒的是G	Buff Apprentice, buff Apprentice! Whoever doesn't buff Apprentice is a noob.
我用小爱同学扫一扫的	I used Xiao Ai to scan it.
这个战士太蠢了	This Warrior is too stupid.
飘飘的小小煮煮	Floating Little Cook
剩余金榜	Remaining Gold List
孕育，孕育，成为“母亲”的孩子！	Nurture, nurture, become the child of the 'Mother'!
贡献：54.2万	Contribution: 542,000
根据赌约，你有一次反悔的机会。	According to the bet, you have one chance to go back on your word.
真是少见的和谐啊。	What a rare moment of harmony.
累计开服50天	Cumulative server uptime 50 days
血誓	Blood Oath
通用非凡方案	General Beyonder plan
12.2万	122,000
商队位置：	Caravan Location: 
概率<Rate>38%</>	Probability <Rate>38%</>
00秒	00 seconds
<img id="#164"/>白银三阶 0胜点<GrassGreen>（+30）</>	<img id="#164"/>Silver Tier 3 0 Victory Points<GrassGreen>（+30）</>
但只有尽快变强，才能在面对危险时，有更大的生存概率。	But only by becoming stronger as soon as possible can one have a greater probability of survival when facing danger.
副会长职位标题	Vice-President Position Title
包含以下词条（任意一条）	Contains the following entries (any one)
<TarotContractHighLight>9</>/12名队员已签署完成	<TarotContractHighLight>9</>/12 members have finished signing
不服就继续	If you're not convinced, keep going
新时代！新时代！新时代！	New era! New era! New era!
请从以下4张牌中选择1张作为故事的发展方向	Please select 1 of the 4 cards below to determine the direction of the story.
铸造神话品质胸针<Highlight>（竞技倾向）</>的关键材料。\n\n铸造需消耗<Highlight>15</>个灰雾晶砾，得到64装等<Highlight>竞技倾向</>神话品质胸针。\n随赛季进程，将开放竞技倾向神话胸针的装等提升，提升时消耗一定数量的<Highlight>灰雾晶砾</>。\n\n每周可通过终末猎杀、四方联赛、猎城战/高原战、以战养战秘宝<Highlight>直接获取</>至多<Highlight>3</>个灰雾晶砾。未获取个数可累计至下周，至多累计至<Highlight>15</>个。	A key material for forging a Mythical-quality brooch<Highlight> (Competition-oriented)</>.\n\nForging requires 15<Highlight></> units of gray fog crystal fragments to obtain a level 64<Highlight> Competition-oriented</> Mythical-quality brooch.\nAs the season progresses, Gear Level Increase for Competition-oriented Mythical brooches will be unlocked, which will consume a certain amount of <Highlight>gray fog crystal fragments</>.\n\nYou can directly obtain<Highlight> up to</> 3<Highlight></> units of gray fog crystal fragments per week through Final Hunt, Four-Way League, City Hunt/Highland Battle, and War-for-War treasures. Unobtained amounts can be accumulated for the following week, up to a maximum of 15<Highlight></> units.
BUFF名七字符	BUFF Name Seven Chars
伊丽莎白·霍尔	Elizabeth Hall
视频名字	Video Title
谁把表弄丢了？失主应该很着急。	Who lost their watch? The owner must be very anxious.
负重：120	Weight: 120
公会资金	Guild Funds
我真不行了呀	I really can't do it anymore.
查看故事	View Story
真奇怪真奇怪真奇怪	How strange, how strange, how strange
线	Thread
赛季名称六字	Six-character season name
3:20后开始	Starts after 3:20
好强的灵性波动……	Such strong spiritual fluctuations...
对了，赌局过程中，每轮你可以花点时间来记录和分析每轮的结果，尽情挣扎吧。	Right, during the gambling process, you can take some time each round to record and analyze the results of each round, struggle to your heart's content.
将此次生成动作保存至<Path>【装扮站】</>	Save this generation action to <Path>【Dress-up Station】</>
感知灵界，观测星空，通过灵性物品启示的命运变化，解读其映射的现实空间异动、事态发展走向与潜在未知危险。\n占星启示期间，周围的玩家可以获得临时技能来获取占星指引。\n使自身获得武力加4，直觉加2。使用临时技能获取占星指引的玩家也可以获得武力加4，直觉加2。	Perceive the Spirit World, observe the starry sky, and interpret the anomalies in real space, the development of events, and potential unknown dangers mapped by the changes in fate revealed by spiritual items. \nDuring an Astrological Revelation, surrounding players can gain temporary skills to obtain astrological guidance.\n Increases your own Strength by 4 and Intuition by 2. Players who use temporary skills to obtain astrological guidance can also gain Strength by 4 and Intuition by 2.
我的业绩：1000	My Performance: 1000
招财猫-3 (Me)	Lucky Cat-3 (Me)
暂未获得任何聚合属性	No aggregate attributes obtained yet
礼物礼包皮肤标题名字	Gift Package Skin Title Name
连续胜利	Winning streak
双方搭配中...	Both sides are matching...
收到严重惊吓，SAN值降低导致身体出现变异，收到严重惊吓，SAN值降低导致身体出现变异。	Received a severe shock, SAN value dropped causing physical mutation, received a severe shock, SAN value dropped causing physical mutation.
单价: <Price_Lev1>1000</>	Unit Price: <Price_Lev1>1000</>
啥啊，丝血给我爆死了	What the, I was at low health and got bursted to death.
按钮名称	Button Name
汇报的时候，是不是应该……	When we report back, shouldn't we...
……你还想做What?	……What else do you want to do?
我哭死	I'm crying to death.
打不到	Can't hit.
技能描述技能描述技能描述技能描述技能描述技能描述技能描述技能描述	Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description
筛选标题	Filter Title
系统通用提示文本	General System Prompt Text
什么传说	What legend
看来霍克斯男爵的心脏疾病非常严重。	It seems Baron Hawkes' heart condition is very serious.
0000秒	0000 seconds
16场	16 matches
巨龙之魂-2号赛区	Giant Dragon Soul - Sector 2
都怪你们串太多了，我发cpdd都没人私信了	It's all your fault for trolling too much; now no one DMs me even when I post 'cpdd'.
队伍右对齐文本	Team Right-Aligned Text
是这个年轻人在拉琴吗？	Is this young man the one playing the violin?
暂无扮演者	No actors yet
有灵性残留……等调查完线索，再用灵性追溯看看男爵生前的片段吧。	There is spiritual residue... after investigating the clues, I'll use Spiritual Retrospection to see fragments of the Baron's life.
物品名称物品名称<img id="TaskCoin" width="48" height="48"/>	Item name item name<img id="TaskCoin" width="48" height="48"/>
申请内容申请内容申请内容申请内容申请内容申请内容	Application Content Application Content Application Content Application Content Application Content Application Content
分红奖励于12填23时后自动发送至邮箱	Dividend rewards will be automatically sent to your mailbox after 12 days and 23 hours
好了，即使有人来这里，也不会被污染影响了。	Alright, even if someone comes here, they won't be affected by the corruption.
睡觉睡觉。。好累  	Sleep, sleep... so tired.
种子都没叠就和我打	Fighting me without even stacking seeds.
系统名(必填)：	System Name (Required):
誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言	Oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath
这里的生意果然不怎么样。	Business here is indeed not very good.
再消耗<HighLight>30</>个操纵灵线后,必出橙色秘偶	Consume <HighLight>30</> more Spirit Body Threads to guarantee an orange marionette
切磋决斗	Sparring duel
系统标题	System Title
这是一段灵体之线的玩法介绍玩家使用灵体之线技能，进入这是一段灵体之线的玩法介绍玩家使用灵体之线技能，进入这是一段灵体之线的玩法介绍玩家使用灵体之线技能，进入	This is an introduction to the spirit body threads gameplay. Players use the spirit body threads Skill to enter... This is an introduction to the spirit body threads gameplay. Players use the spirit body threads Skill to enter... This is an introduction to the spirit body threads gameplay. Players use the spirit body threads Skill to enter...
06:03后开启	Opens in 06:03
归属<img id="GvGCamp2"/><Blue>阵营名称</>	Affiliation <img id="GvGCamp2"/><Blue>Camp Name</>
虔诚信徒	Pious Believer
规则	Rules
不觉得伤害战士很脆么？	Don't you think the damage Warrior is very squishy?
保留近6个月的召唤记录，记录上限为1000条，记录更新可能会延迟，若无数据请稍后查看	Keep the last 6 months of Summon records, with a limit of 1000 records. Record updates may be delayed; if there is no data, please check back later.
