CN	EN
耍酒疯醉汉	Drunken Man
耐心的	Patient
耳饰	Earrings
聆听	Listen
聆听告解	Listen to Confession
聊	Chat
聊天	Chat
聊聊	Chat
职位	Position
职位调整	Position Adjustment
职务设置	Position Settings
聪明的	Clever
肉摊摊主	Meat stall owner
肖德太太	Mrs. Shawd
肩部	Shoulders
肯恩	Kane
背包	Inventory
背包栏	Inventory
背部	Back
胖子僵尸	Fat Zombie
胜利通关	Victory
胜场数	Wins
胡德	Hood
胸口装饰	Chest Decoration
胸部	Chest
能量回复	Energy Recovery
脑缠	Brain-dead
脚印	Footprints
脚部	Foot
脱卡	Unequip
脱掉	Take Off
脱离梦境	Exit Dream
腐化之鹿	Corrupted Deer
腐蚀潮水	Corrosive Tide
腰带	Belt
腰间装饰	Waist Decoration
腰饰片	Waist Ornament
臣服	Submit
自信的	Confident
自动中	Auto
自定义	Custom
自己	Self
自己外观	My Appearance
自我销毁	Self-Destruct
自杀现场	Suicide scene
自然的	Natural
自由	Free
自行车	Bicycle
自行车告示	Bicycle Notice
自身有愚者祝福效果层数大于2层	Number of stacks of The Fool's blessing effect on self is greater than 2
致意	Salute
舒	Shu
舒元	Shuyuan
舒婷	Shuting
舒月	Shuyue
舒瑶	Shuyao
舒语	Shuyu
舞会时间	Ball Time
舞者	Dancer
舞者3	Dancer 3
舞者4	Dancer 4
舞蹈中	Dancing
舞蹈家	Dancer
航	Hang
良好	Good
艺	Yi
艺君	Yijun
艺嘉	Yijia
艺心	Yixin
艺晴	Yiqing
艺月	Yiyue
艺柳	Yiliu
艺欣	Yixin
艺涵	Yi Han
艺知	Yi Zhi
艺诗	Yi Shi
艺轩	Yi Xuan
艺馨	Yi Xin
艾妮	Annie
艾尔莎·	Elsa 
艾弗莉·	Avery 
艾弗莲	Evelyn
艾德温	Edwin
艾德雯娜	Edwina
艾斯特	Esther
艾格尼斯	Agnes
艾沃尔	Ivor
艾洛伊丝	Eloise
艾玛·	Emma 
艾琳·	Irene 
艾琳娜	Elena
艾瑞娅	Aria
艾登的灵魂，会以旋律的姿态，环绕在你身边，告诉你，他从未离开 。	Aiden's soul will surround you in the form of a melody, telling you that he has never left.
艾福瑞	Avery
艾米利娅·	Emilia 
艾米莉	Emily
艾莉娅·	Elia 
艾莉诺	Eleanor
艾莱妮·	Elaine 
艾莲诺拉	Eleonora
艾萨克	Isaac
艾蜜莉·	Emily 
艾迪琳·	Adeline 
艾里克	Eric
艾里斯	Iris
艾露伊丝·	Eloise 
芙蕾雅	Freya
芙蕾雅·	Freya 
芬妮	Fanny
芮娜	Rena
花	Flower
花园	Garden
花店老板	Flower Shop Owner
花房店主	Flower Shop Owner
花摊子	Flower Stall
花摊老板	Flower Stall Owner
花朵	Flower
花童	Flower Girl
花米尼克	Dominic
花费：	Cost:
花车	Float
花车老板	Flower Cart Owner
花边 	Lace
芷	Zhi
芷伊	Zhiyi
芷元	Zhiyuan
芷月	Zhiyue
苏州	Suzhou
苏生	Resurrection
苏菲亚·	Sophia 
苏醒	Awaken
若尘	Ruochen
若希	Ruoxi
若晨	Ruochen
若曦	Ruoxi
若涵	Ruohan
若溪	Ruoxi
若熙	Ruoxi
若琪	Ruoqi
若琳	Ruolin
若禹	Ruoyu
若羽	Ruoyu
若翰	Ruohan
若语	Ruoyu
若豪	Ruohao
若轩	Ruoxuan
若辰	Ruochen
若雨	Ruoyu
若骏	Ruojun
英俊的	Handsome
英雄登场II	Hero's Entrance II
英雄登场III	Hero's Entrance III
英雄登场IV	Hero's Entrance IV
英雄登场V	Hero's Entrance V
范妮	Fanny
茜	Qian
茱莉娅	Julia
茶几	Coffee Table
茹	Ru
荣光之证	Proof of Glory
荣耀者	Glory
药剂	Potion
药品	Medicine
药水	Potion
莉奥娜	Leona
莉娅	Leah
莉娅·	Lia 
莉娜	Lena
莉娜·	Lina 
莉安娜·	Liana 
莉欧娜	Leona
莉莉	Lily
莉莲·	Lilian 
莉迪娅·	Lydia 
莎琳	Sharron
莎莉丝特	Celeste
莎莉丝特·	Celeste 
莫利安	Morian
莫洛托夫鸡尾酒	Molotov Cocktail
莫莉·	Molly 
莫莉安	Morian
莱娜	Lena
莱恩	Ryan
莱拉尼·	Leilani 
莱昂娜·	Leona 
莱瑞	Larry
莱莉·	Riley 
获得	Obtain
获得1个带有<神明之手>词条的非凡物质	Obtain 1 Beyonder material with <Hand of God> trait
获得指定道具  	Obtain specified item
菜摊纸条	Vegetable Stall Note
菜贩	Vegetable Vendor
菡	Han
菱	Ling
菲	Fei
菲斯	Fis
萌	Meng
萝丝	Rose
萧宇	Xiaoyu
萧晴	Xiaoqing
萨布丽娜·	Sabrina 
萨曼莎·	Samantha 
萨瓦娜·	Savannah 
萨缪尔	Samuel
萨里娅·	Saria 
落雷	Lightning Strike
蒂娜	Tina
蒂芙尼·	Tiffany 
蒋	Jiang
蒸汽火车	Steam Train
蓝	Blue
蓝色	Blue
蓝色音符	Blue Note
蔬菜摊摊主	Vegetable Stall Owner
蔷薇	Rose
蕊	Rui
蕙	Hui
蕾	Ray
蕾丝	Lace
蕾切尔·	Rachel 
薇尔	Will
薇尔莉特	Violet
薇拉	Vera
薇洛	Willow
虹	Hong
虹羽	Hongyu
蜜雪儿	Michelle
蜡烛台	Candlestick
蝴蝶结一	Bow 1
蝴蝶结二	Bow 2
血皇帝	Blood Emperor
血腥怀抱	Bloody Embrace
行李	Luggage
行礼	Salute
衔尾	Ouroboros
衣物	Clothing
表情动作	Emote
表现	Performance
表现触发	Performance Trigger
衬衫	Shirt
衰减	Decay
衰竭	Exhaustion
衰败	Decay
袁	Yuan
袖口	Cuff
被囚禁的秘偶	Imprisoned Marionette
裁决者	Judgment
装备提升	Equipment Strengthening
装配	Equip
装饰一	Decoration 1
装饰三	Decoration 3
装饰二	Decoration 2
装饰花朵	Decorative Flower
裙子上	Upper Skirt
裙子下	Lower Skirt
西尔维亚	Sylvia
西维亚·	Sylvia 
要不您去帮帮旁边那位先生？他有点害羞。	Why don't you go help that gentleman over there? He's a bit shy.
要命镜头	Fatal Shot
观察<h>眼前的人</>	Observe the <h> person in front </>
观察……	Observing...
观察一下	Observe
观察中……	Observing...
观察四周	Observe Surroundings
观察查尼斯门	Observe Chanis Gate
观察火柴	Observe the match
观测	Observe
观看	Watch
觅径	Pathfinding
视角	Camera
视野怪物	Vision Monster
角色	Character
角色显示	Character Display
角落里的钢琴	Piano in the corner
解救	Rescue
解锁	Unlock
解锁确认	Confirm Unlock
解锁隐藏身份“愚者信徒”	Unlock hidden identity \"The Fool's Believer\"
触	Touch
触摸	Touch
触碰	Touch
触碰中……	Touching...
言	Yan
詹妮	Jenny
詹妮弗·	Jennifer 
詹姆	Jamie
詹尼	Jenny
誓言查看	View Vow
警察徽章	Police Badge
警徽	Police Badge
警示	Warning
计数	Count
讨厌	Dislike
让	Ren
让我想想……	Let me think...
让我看看	Let me see
记录者	Record
讲述者	Narrator
评分：%s	Score: %s
评委	Judge
诅咒之孽（狂暴）	Cursed Offspring (Berserk)
诅咒知识	Cursed Knowledge
试试其他办法吧。	Let's try other methods.
试试念出祷词	Try reciting the prayer
诗妍	Shiyan
诗晴	Shi Qing
诗月	Shi Yue
诗淇	Shi Qi
诗琪	Shi Qi
诗琳	Shi Lin
诗语	Shi Yu
诗铭	Shi Ming
诗雨	Shi Yu
诚实	Honest
诚实的	Honest
诡异的玩偶	Eerie Doll
诡秘之主	Lord of Mysteries
询问<h>丽贝卡</>	Ask <h>Rebecca</>
询问<h>阿罗德斯</>	Ask <h>Arrodes</>
询问希罗多德	Ask Herodotus
询问推荐	Ask for recommendations
询问西奥多	Ask Theodore
该俱乐部该时段已有宣战！	This club has already declared war during this period!
语	Yu
语心	Yu Xin
语星	Yuxing
语晨	Yuchen
语晴	Yuqing
语桐	Yutong
语欣	Yuxin
语涵	Yuhan
语琦	Yuqi
语琪	Yuqi
语知	Yuzhi
语音房间	Voice Room
语馨	Yuxin
说实话吧	Tell the truth
说明	Instructions
诵念咒文	Chant Incantation
诶？	Eh?
请品尝！	Please, have a taste!
请在限时内做出正确动作。	Please perform the correct action within the time limit.
请正常地冲洗照片。	Please develop the photos normally.
请离战队	Remove from Team
请离队员	Remove Member
请等候	Please wait
读	Read
读信	Read the letter
读条传送	Teleporting
调查玫瑰天堂。	Investigate Rose Paradise.
调配	Prepare
谎话	Lie
谢谢。 	Thank you.
谢谢你。	Thank you.
谢谢，愚者先生。	Thank you, Mr. Fool.
谨慎的	Cautious
豪斯	House
贝克兰德	Backlund
贝尔	Bell
贝尔纳黛	Bernadette
贝肯	Bacon
贝莎·	Bertha 
负	Loss
败	Loss
质感	Texture
质询	Inquiry
质量	Quality
贫穷女孩	Poor Girl
贫穷少女	Poor girl
贫穷的	Poor
贫穷的少女	Poor Girl
贫穷的男人	Poor Man
贫穷老头	Poor Old Man
贫苦人	Poor Person
购买单价	Unit Price
购买总价	Total Price
购买确认	Confirm Purchase
购得	Purchased
贵妇	Noblewoman
贵族夫人	Noble lady
贵族小姐	Noble lady
贸易战争	Trade War
费什	Fish
费雷德里克	Frederick
贺	He
贾克森·	Jackson 
贾思琳·	Jocelyn 
资讯	News
资阳	Ziyang
赋税：	Tax:
赌鬼	Gambler
赏金猎手	Bounty Hunter
赐福	Blessing
赖斯	Rice
赛勒斯·莫宁	Cyrus Morning
赛斯	Seth
赛程	Schedule
赛西尔	Cecil
赞同	Agree
赞同贵族小姐	Agree with the noble lady
赞同贵族小姐（寻猫解锁）	Agree with the noble lady (unlocked by finding the cat)
赞美太阳	Praise the Sun
赞美愚者。你说得很对，愚者先生有着一颗温柔的心。	Praise the Fool. You are quite right; Mr. Fool has a gentle heart.
赠予	Give
赠以清水	Give Water
赠以面包	Give Bread
赠礼	Gift
赠言	Message
赠送	Gift
赠送礼物	Send Gift
赠送给	Gift to
赤石	Shit
赫	He
赫德森	Hudson
走了	Left
走向一旁	Walk to the side
起源	Origin
起舞	Dance
超值返利	Value Rebate
趣味	Fun
足迹再现命中时，根据足迹消耗层数有概率召唤残影释放技能。	When Footprint Reappearance hits, there is a chance to summon an afterimage to cast a skill based on the number of Footprints consumed.
跃然	Yueran
跑图	Map Exploration
跑起来！	Run!
跑路	Run away
跟上	Follow
跟上来。	Follow me.
跟我来吧。	Follow me.
跟我走。	Follow me.
跟随	Follow
跟随<h>小猫</>	Follow the <h>kitten</>
跟随<h>阿兹克先生</>	Follow <h>Mr. Azik</>
跟随中	Following
跟随帕里克	Follow Patrick
跨	Cross
路人b	Passerby B
路人c	Passerby C
路人甲	Passerby A
路径	Path
路径点	Waypoint
路径点2	Waypoint 2
路易斯	Louis
路点1	Waypoint 1
路点10	Waypoint 10
路点11	Waypoint 11
路点12	Waypoint 12
路点2	Waypoint 2
路点3	Waypoint 3
路点4	Waypoint 4
路点5	Waypoint 5
路点7	Waypoint 7
路点8	Waypoint 8
路点9	Waypoint 9
路点一	Waypoint 1
跳舞中	Dancing
跳跃	Jump
踏实的	Steady
踢	Kick
车	Vehicle
车角色	Character Creation
车身	Body
车辆	Vehicle
车间门口	Workshop Entrance
轩	Xuan
轩宇	Xuanyu
轩语	Xuanyu
转动	Rotate
转发	Forward
转让领袖	Transfer Leader
转运抵挡	Fortune Resistance
轮斩	Circular Slash
轮盘	Wheel
轶	Yi
轶轩	Yixuan
轶骏	Yijun
载具	Vehicle
输了	Lost
辛	Xin
辛西娅·	Cynthia 
辨别	Identify
辨认	Identify
边缘	Edge
达丽	Dali
达利	Dali
达到%s级解锁	Unlocked at level %s
达到上限	Reached limit
达尼兹·迪布瓦	Danitz
达科塔·	Dakota 
达纳	Dana
达蒙	Damon
过期	Expired
过道	Corridor
迈尔斯＆卡兰	Miles & Karan
迎新	Welcome
运	Luck
运算符	Operator
近景	Close-up
近景1	Close-up 1
近景2	Close-up 2
返回	Return
返回<h>黑荆棘安保公司</>	Return to <h>Blackthorn Security Company</>
返回廷根	Return to Tingen
返回愚者大厅	Return to the Hall of the Fool
返回现实世界	Return to Reality
返回黑荆棘	Return to Blackthorn
返回黑荆棘安保公司	Return to Blackthorn Security Company
还剩 %s	Remaining %s
还原	Restore
还是算了。	Never mind.
还是算了吧	Never mind
还有什么事？	Anything else?
还有其他的吗	Anything else?
还有其他的吗？	Anything else?
还有别的事	Anything else?
还有别的吗？	Anything else?
还要等多久啊……	How much longer do I have to wait...
这个……	This...
这位……	This...
这位是……	This is...
这是什么营地？ 	What kind of camp is this?
这是什么？	What is this?
这是受害人	This is the victim.
这是哪儿……	Where is this...
这是哪儿？	Where is this?
这是哪里？	Where is this?
这是哪？	Where is this?
这是在……	This is...
这是怎么了？	What happened?
这是我们的荣幸，愚者先生。	It is our honor, Mr. Fool.
这是种......很特别的疗法，似乎有效，只是需要一点点勇气。	This is a... very special therapy. It seems effective, it just requires a little bit of courage.
这样？	Like this?
这里是......	This is...
这里是……	This is...
这里是可被技能表引用的描述:*s	This is a description that can be referenced by the skill table:*s
这里是？	Where is this?
这，这是……！	This, this is...!
进入中……	Entering...
进入位面	Enter plane
进入房间	Enter the room
进攻	Attack
进行交易	Trade
进行表演	Perform
进队	Join Team
迟疑	Hesitate
迪亚娜	Diana
迪兰	Dylan
迪耶戈	Diego
迷路	Lost
迸发	Burst
追猎	Hunt
追踪	Track
追问细节	Ask for details
退	Retreat
退出	Exit
退出主宰争锋	Leave Dominator's Clash
退出位面	Leave Plane
退出副本	Leave Dungeon
退出战队	Leave Team
退出登录	Logout
退出队伍	Leave Party
退队	Leave Party
逃脱	Escape
逆水寒	Justice Online
选中	Select
选择	Select
选择中……	Selecting...
透明度	Opacity
递交	Submit
途	Path
途径	Pathway
通	Tong
通关亡者疑踪	Clear Traces of the Dead
通关值夜模式	Clear Nighthawk Mode
通关哀嚎黑市	Clear Wailing Black Market
通关窥秘的角落	Clear A Corner of Mysteries
通关黄金之罪	Clear Sin of Gold
通用	General
通用QTE  	General QTE
通知	Notice
逸	Yi
逸君	Yi Jun
逸墨	Yi Mo
逸思	Yi Si
逸晨	Yi Chen
逸晴	Yi Qing
逸然	Yi Ran
逸知	Yi Zhi
逸诗	Yi Shi
逸轩	Yi Xuan
逸雪	Yi Xue
逸飞	Yi Fei
逸骏	Yi Jun
逼	Damn
遇到什么事了吗？	Did something happen?
道具ID	Item ID
道具不足。	Insufficient items.
道具名称	Item Name
遗迹	Ruins
遗骸	Remains
遥	Yao
邀请入队	Invite to Team
邀请函	Invitation
邀请已发出，请耐心等待	Invitation sent; please wait patiently.
邀请组队	Invite to Team
邓恩·史密斯	Dunn Smith
那你跑什么啊？	Then why are you running?
那就买银色吧！不管怎样，从今天开始，我不用问别人现在几点了！	Then I'll buy the silver one! Regardless, from today on, I don't have to ask others what time it is!
那屋里的动静……今晚又该睡不着了。 	The commotion in that room... I won't be able to sleep again tonight.
那当然！	Of course!
那怎么办？	Then what should I do?
那我要怎么做？	Then what should I do?
那我该怎么办？	Then what should I do?
那我？	What about me?
那是什么意思？	What does that mean?
那是什么？	What is that?
邦尼	Bonnie
邦德	Bond
邮箱	Mailbox
邱	Qiu
都有什么效果？	What are the effects?
配音	Voice
酒保	Bartender
酒摊老板	Stall owner
酒类	Alcohol
醉汉	Drunkard
醉酒男子	Drunken Man
醒来	Wake up
采集	Collect
采集中……	Collecting...
采集物1	Collection 1
里克	Rick
里埃尔	Riel
里奥	Leo
里斯	Reese
里昂	Leon
里特恩	Return
重命名	Rename
重庆市	Chongqing
重新刷新	Refresh
重来	Try Again
重生出生点1	Respawn Point 1
重生点1	Respawn Point 1
重生点·铁十字街	Spawn Point: Iron Cross Street
重置	Reset
野蓟咖啡馆	Coastline Restaurant
金狼讲台	Golden Wolf podium
金百莉·	Kimberly 
钓鱼佬	Fisherman
钥匙	Key
钱	Qian
钱夹	Wallet
钱币不足。	Insufficient currency.
钻石一	Diamond 1
钻石二	Diamond 2
铁壁	Iron Wall
铁路巨头	Railway Tycoon
铁路贸易	Railway Trade
铠甲	Armor
银匕	Silver Dagger
银匕首	Silver Dagger
铸造成功	Forging Successful
链条	Chain
链珠	Bead Chain
销售记录	Sales Record
销毁	Destroy
销毁指定数量的家园障碍物  	Destroy specified number of home obstacles
锁上的	Locked
锁定	Locked
锁链	Chain
锋刃	Blade
镇长	Mayor
镜中的廷根	Tingen in the Mirror
镜头	Lens
镜头2	Camera 2
镜子	Mirror
镜框	Frame
镜片	Lens
长短	Length
长老	Elder
门卫	Gatekeeper
闪光灯	Flash
闪袭	Flash Strike
问价	Ask for the price
问伦纳德	Ask Leonard
问候	Greet
问好	Greet
问问<h>老尼尔</>	Ask <h>Old Neil</>
问问卡萝	Ask Carol
问问怎么了	Ask what happened
问题反馈	Feedback
闲话气泡	Chat Bubble
闲趣	Leisure
闻一闻	Sniff
闻闻	Sniff
阁下，请问该怎么称呼您？	Your Excellency, how should we address you?
阅读中……	Reading...
阅读桌子上的案件报告	Read the Case Report on the Table
阎	Yan
队	Team
队伍	Team
队伍不存在	Team does not exist.
队长	Captain
防守	Defense
防护	Protection
防护罩	Protective Shield
阳光的	Sunny
阻塞	Block
阻拦	Block
阻拦2	Block 2
阻拦3	Block 3
阻止	Stop
阿丽娅·	Aria 
阿丽安娜·	Arianna 
阿丽莎	Alisha
阿丽雅·	Aria 
阿什	Ash
阿什利	Ashley
阿伦	Alan
阿克斯尔·	Axel 
阿克斯顿·	Ashton 
阿克赛尔	Axel
阿利娅·	Aria 
阿利安娜·	Arianna 
阿利雅·	Aria 
阿尔伯特	Albert
阿尔博特	Albert
阿尔吉	Alger
阿尔弗雷德	Alfred
阿尔杰·威尔逊	Alger Wilson
阿尔玛·	Alma 
阿尔贝	Albert
阿尼娅·	Anya 
阿彻	Archer
阿曼妮西斯	Evernight Goddess
阿曼达	Amanda
阿曼达·	Amanda 
阿梅莉·	Amelie 
阿瑞雅·	Aria 
阿瑟	Arthur
阿米拉·	Amira 
阿罗拉·	Aurora 
阿蒙	Amon
阿蜜莉雅·	Amilia 
阿里娅·	Aria 
附和	Agree
陌生人	Stranger
陌生人喵。	Stranger, meow.
陛下？你在叫我？	Your Majesty? Are you calling me?
随便看看	Just looking around
隐秘	Hidden
隐秘的	Hidden
隐者	Hermit
隐藏	Hidden
隐藏状态	Hidden State
隐身刺击	Stealth Stab
障碍物	Obstacle
难看	Ugly
雅各布	Jacob
雅致的	Elegant
雅静的	Quiet
雅馨	Ya Xin
集合	Gather
集市	Market
集结	Rally
雏菊	Daisy
雨伞	Umbrella
雨函	Yu Han
雨含	Yu Han
雨嘉	Yu Jia
雨墨	Yu Mo
雨妍	Yu Yan
雨嫣	Yu Yan
雨宸	Yu Chen
雨寒	Yu Han
雨心	Yu Xin
雨思	Yu Si
雨新	Yu Xin
雨晨	Yu Chen
雨林	Yu Lin
雨桐	Yutong
雨浩	Yuhao
雨涵	Yuhan
雨淇	Yuqi
雨然	Yuran
雨熙	Yuxi
雨琪	Yuqi
雨璇	Yuxuan
雨知	Yuzhi
雨童	Yutong
雨茜	Yuxi
雨菡	Yuhan
雨萱	Yuxuan
雨蒙	Yumeng
雨薇	Yuwei
雨诗	Yushi
雨豪	Yuhao
雨轩	Yuxuan
雨辰	Yuchen
雨阳	Yuyang
雨霏	Yufei
雨霖	Yulin
雨飞	Yu Fei
雨馨	Yu Xin
雨骏	Yu Jun
雪	Snow
雷	Ray
雷击	Lightning Strike
雷娅·	Leia 
雷娜塔·	Renata 
雷德	Red
雷恩	Ryan
雷恩·	Ryan 
雷球	Lightning Ball
雷纳德	Leonard
雷蒙德	Raymond
雷金纳德	Reginald
雷雨	Thunderstorm
需要帮忙吗？	Do you need help?
需要有队伍，填充系统机器人对战	Requires a team; fill with system bot battle.
霄	Xiao
霆	Ting
震地猛击	Earthquake Slam
霍尔	Hall
霍恩	Horn
霍普	Hope
霍纳奇狮？	Hornacis?
霍金纳	Hawkins
霏	Fei
露	Lu
露丝玛丽·	Rosemary 
露娜	Luna
露拉	Lula
露比	Ruby
露西亚	Lucia
露露	Lulu
青叶	Green Leaf
青年	Young Man
青年女性	Young Woman
青年男性	Young Man
靖	Jing
静谧的	Serene
静音	Mute
静默中	Silent
非凡人物	Beyonder
非凡物质	Beyonder material
非凡生物在哪里	Where to Find Beyonder Creatures
非凡生物笔记	Beyonder Creature Notes
非凡药剂百科	Encyclopedia of Beyonder Potions
非常不错。	Very good.
面包摊摊主	Bread stall owner
面部	Face
鞋靴	Boots
鞠躬行礼	Bow
韦斯特	West
音	Voice
音符	Note
韵	Yun
页	Page
顶1	Top 1
顶2	Top 2
项圈	Collar
顺滑的	Smooth
顺火暖	Justice Online
顺着看看	Take a look
顾晚泽	Gu Wanze
预备	Ready
预览	Preview
预言家	Prophet
领主大人，感谢您为这片土地来带希望和明天。	My Lord, thank you for bringing hope and a tomorrow to this land.
领取任务	Accept Quest
领口	Collar
领口下摆	Collar Hem
领奖	Claim reward
领子	Collar
领带	Necktie
领班	Foreman
频道	Channel
颖	Ying
颖诗	Yingshi
颖雪	Yingxue
题目1	Question 1
题目2	Question 2
题目3	Question 3
题目4	Question 4
题目5	Question 5
题目6	Question 6
颜	Yan
颜色浓淡	Color intensity
额……	Uh...
风尚战斗	Fashion Battle
风尚等级	Fashion Level
风暴与你同在。	May the Storm be with you.
风暴追击II	Storm Pursuit II
风暴追击III	Storm Pursuit III
风暴追击IV	Storm Pursuit IV
风暴追击V	Storm Pursuit V
风格	Style
飒爽	Dashing
飓风之斧	Hurricane Axe
飘带	Ribbon
飘逸的	Elegant
飞扑	Pounce
食品	Food
食物	Food
饥饿的蠕动	Creeping Hunger
饮料	Drink
饮水	Drink Water
饮用	Drink
饰板	Decorative Plate
馈赠	Gift
馈赠·商行失效，本站不是【商行】	Gift: Trading House failed, this station is not [Trading House]
馈赠·酒庄失效，本站不是【酒庄】	Gift: Winery failed, this station is not [Winery]
馈赠·食铺失效，本站不是【食铺】	Gift: Shop failed, this station is not [Shop]
馈赠礼盒	Gift Box
首通奖励	First Clear Rewards
首通队伍	First Clear Team
香槟	Champagne
香甜的	Sweet
馨	Xin
馨予	Xinyu
馨云	Xinyun
馨仪	Xinyi
馨元	Xinyuan
馨墨	Xinmo
馨妍	Xinyan
馨怡	Xinyi
馨月	Xinyue
馨然	Xinran
馨瑶	Xinyao
馨语	Xinyu
馨雨	Xinyu
馨雪	Xinxue
马丽娜·	Marina 
马修特	Matthew
马匹	Horse
马车夫	Coachman
马车驿站	Carriage Station
骁	Xiao
骑乘上坐骑	Mount
骑士	Knight
骑宠	Mount
骗人！	Liar!
骞	Qian
骰子皮肤	Dice Skin
高度	Height
高德弗	Godfrey
高挑	Tall
高级修炼	Advanced Training
鬼	Ghost
魅力	Charm
魔女	Witch
魔女与野兽-蜂蜜炖肥肠	The Witch and the Beast - Honey-Stewed Pork Intestines
魔女诱惑中	Witch's Temptation
魔术师牌	The Magician
魔术表演	Magic Performance
魔药	Potion
鱼	Fish
鱼摊老板	Fish Stall Owner
鲁丝	Ruth
鲁恩	Loen
鲁恩风尚	Loen Fashion
鲁比	Ruby
鲁特	Root
鲜花摊主	Flower stall owner
鸟	Bird
鸣宇	Mingyu
鹅厂	Tencent
麒	Qi
麒骏	Qijun
麦克斯	Max
麦基	McGee
麦德琳·	Madeline 
麦格	Mage
麦格努斯	Magnus
麦琪	Maggie
麻花编绳	Braided Rope
黄色的	Yellow
黄金梦土	Golden Dreamland
黄铜书表演用怪物	Brass Book Performance Monster
黎明	Dawn
黑帮头目	Gang Leader
黑影投影	Shadow Projection
黑皇帝	Black Emperor
黑色	Black
黑荆棘马车夫	Blackthorn carriage driver
黑面草面包	Black Bread
黔西南布依族苗族自治州	Qianxinan Buyei and Miao Autonomous Prefecture
默	Mo
默默的守护者	Silent Guardian
黛丝	Daisy
黛安娜	Diana
黛尓	Daly
黛尔	Daly
黛芙妮·	Daphne 
黛西	Daisy
鼠	Rat
齐	Qi
齐亚尔·	Ziar 
龙威	Dragon Might
（可交易）	(Tradable)
